apicall_954834405d762e3b854af89d3841eb2a,vyžádat nedostupný
app_text_cancel_transaction,Zrušení transakce
app_text_middle_of_payment,Nacházíte se v polovině svého procesu platební transakce. Opravdu chcete zrušit transakci?
app_text_yes,Ano
app_text_no,Ne
app_text_enter_your_comment,Zadejte svůj komentář
app_text_msg_shipping_methods_unavailable,Z nějakého produktu (ů), způsoby dopravy nejsou k dispozici. Odstraňte takovýto produkt (y) z košíku a zkuste to znovu.
app_text_msg_select_shipping_methods,Prosím, vyberte způsob dopravy
youtube_api_key,AIzaSyA1UXXtMmvYcsJpcUMCXRENdi_gDYXPpe0
server_not_found,Server nebyl nalezen
authorization_error,Chyba autorizace
check_internet_connection,Připojení k síti Error.Please zkontrolujte své připojení k internetu
parse_error,Chyba analýzy v API
app_text_share_log,podíl Log
app_text_payment_failed_contact_support,Vaše objednávka nemůže být zpracována. Laskavě kontaktujte podporu pro všechny dotazy
app_text_choose_payment_method,Vyberte způsob platby
app_text_no_payment_method,Ne Způsob platby (y)!
app_text_no_payment_currently,Neexistují žádná platební metoda v současné době.
app_text_no_make_payment,Vyhrál jsi \ 't být schopen provést platbu za tento mobilní aplikace je nastavení pro demonstrační účely.
app_text_make_payment_after_select,Můžete provést platbu po zvolení jakékoliv platební metody!
app_text_title_paypal_payment,PayPal Payment
app_text_order_total_price,Objednat Celková cena
app_text_user_cancelled_the_payment,Uživatel zrušil platbu
app_text_invalid_payment_try_again,Neplatná platební. Laskavě zkuste to znovu
app_text_wishlist_item_removed,Položka byla odebrána ze seznamu přání.
app_text_wishlist_item_added,Položka byla přidána do knihy přání
app_text_subject,Ahoj Podívejte se na to!
app_text_text_extra_share,K dispozici zde:
app_text_share_intent_title,Podíl
app_text_error_product_name_url,Název produktu nebo url může být prázdný.
app_text_tag_error,Chyba
app_text_view_your_store,Zobrazit svůj obchod
app_text_view_demo,View Demo
app_text_currency,Měna (y)
app_text_same_as_shipping_details,Stejná jako dodací adresa
app_text_billing_details,fakturační údaje
app_text_shipping_addresses,Poštovní adresa (y)
app_text_billing_addresses,Fakturační adresa (y)
app_text_billing_address,fakturační adresa
app_text_sellers,Prodejci
app_text_seller,prodavač
app_text_seller_shipping_policy,Dodací podmínky
app_text_seller_return_policy,Reklamační řád
app_text_review_title,titul *
app_text_review_comment,Komentář *
app_text_review_rating,Hodnocení *
app_text_filter_products,Filtr Produkt (y)
app_text_select_category,vybrat kategorii
app_text_select_sort,Select Sort
app_text_clear,Průhledná
app_text_edit,Upravit
app_text_cart,Vozík
app_text_move_to_cart,Přesunout do košíku
app_text_no_shipping_method_available,Ne Způsob dopravy je k dispozici
app_text_module_not_installed,Obraťte se na správce webu pro zobrazení dat na této stránce.
app_text_no_data_found,Nenalezena žádná data!
app_text_enter_coupon_code,Zadat kód kuponu
app_text_apply_coupon,Použít kupón
app_text_add_more_in_cart,Přidejte více košíku umístit tento příkaz
app_text_shipping_details,Podrobnosti o přepravě
app_text_choose_app_theme,Vyberte si svůj App Theme
app_text_enter_store_url,Zadejte svůj obchod URL
app_text_sample_store_url,Ex: http://your_store.com/
app_text_downloads,stahování
app_text_done,Hotovo
app_text_posted_on,Vloženo na:
app_text_commented_by,Komentoval:
app_text_seller_comment,Komentář:
app_text_open,otevřeno
app_text_order_status,otevřeno
app_text_special_products,Speciální produkty
app_text_product_information,Informace o produktu
app_text_featured_products,Celovečerní produkty
app_text_requested_gift_order,Požádali jste o balení dárků pro tuto objednávku
app_text_step_one_of_three,krok 1/3
app_text_review_checkout,Review Pokladna
app_text_your_wishlist_is_empty,Váš seznam přání je prázdný!
app_text_no_shipping_method,Ne Způsob dopravy je k dispozici
app_text_no_order_found,No Objednat nalezeno!
app_text_percent_off,% vypnuto
app_text_coupon_length_validation,znaky kupón kód musí být větší než nebo rovna 4.
app_text_coupon_code_removed,Kuponu sleva byl úspěšně odstraněn!
app_text_facebook_login_cancelled,Facebook Přihlášení bylo zrušeno.
app_text_facebook_login_failure,Facebook Přihlášení Failure:
app_text_login_failed,Přihlášení selhalo!
app_text_wrong_url_install_mab,Možná jste zadali nesprávnou adresu nebo jste instalaci mobilní aplikace stavitel modul.
app_text_install_module,instalovat modul
app_text_text_loading,načítání
app_text_text_exception,Výjimka:
app_text_msg_reset_password_click,Můžete obnovit vaše heslo kliknutím na \ ‚Zapomeňte na hesla \‘!
app_text_login_from_here,Můžete se přihlásit do obchodu odtud!
app_text_login_from_facebook_account,Můžete se také přihlásit do obchodu ze svého účtu na Facebooku!
app_text_login_from_google_account,Můžete se také přihlásit do obchodu ze svého účtu Google!
app_text_text_warning,Varování!
app_text_update_address_if_exists,Můžete aktualizovat doručovací adresu nebo si vybrat jinou adresu, pokud existuje!
app_text_continue_to_checkout_click_msg,Můžete pokladny produkty v nákupním košíku pouhým kliknutím na tlačítko \ ‚Pokračovat k pokladně \‘!
app_text_please_enter_store_url,Zadejte prosím adresu URL obchodu
app_text_product_not_desired_quantity,Některé z výrobků v košíku nejsou k dispozici v požadovaném množství nebo není na skladě. Odstraňte takovýto produkt (y) z košíku!
app_text_select_shipping_methods,Vyberte Způsob dopravy (s)
app_text_send_email,Poslat e-mailem...
app_text_error_in_google_sign_in,Některé chyby v google login.Please zkuste to znovu.
app_text_process_payment_problem,Při zpracování platby se vyskytla chyba. Laskavě zkuste to znovu.
app_text_text_state,Stát
app_text_update_address,aktualizace Address
app_text_unit_price,Jednotková cena
app_text_total_price,Celková cena
app_text_text_totals,součty
app_text_text_success,Úspěch!
app_text_sale,Prodej
app_text_new,Nový
app_text_title_payment_paypal,PayPal Payment
app_text_extra_share,K dispozici zde:
app_text_intent_title,Podíl
app_text_ok,OK
app_text_choose_your_app_theme,Vyberte si svůj App Theme
app_text_terms_and_conditions,Podmínky používání
app_text_wishlist_only,Seznam přání
app_text_wishlist_remove,Odebrat ze seznamu přání
app_text_state_not_required,Stát, který není vyžadován pro vybrané země
app_text_currencies,Měna (y)
app_text_payment_failed,Při zpracování platby se vyskytla chyba. Laskavě zkuste to znovu
app_text_entered_wrong_url,Možná jste zadali nesprávnou adresu nebo jste nenainstalovali naše mobilní aplikace stavitel bodule.
app_text_choose_your_app_theme,Vyberte si svůj App Theme
app_text_fill_all_required_fields,Prosím, vyplňte všechny požadované údaje.
appgetwishlist_694e8d1f2ee056f98ee488bdc4982d73,Množství
appgetwishlist_6665e3761028c84e1d228de3432229ed,SKU
appgetwishlist_287234a1ff35a314b5b6bc4e5828e745,Atributy
app_text_share_feedback,Share zpětná vazba / požadavek na zakázku změna
app_text_install_whatsapp,WhatsApp není nainstalován na vašem zařízení
app_text_no_account_registered,Žádný účet je registrován pro biometrické autentizace v tomto přístroji. První zaregistrujte účet.
app_text_confirm_for_authentication,Potvrdí svůj otisk prstu nebo lícem k ověření.
app_text_login_with_fingerprint,Přihlásit pomocí otisků prstů
app_text_register_for_fingerprint,Zaregistrujte se Fingerprint Login
app_text_biometric_not_available,Biometrická autentizace není k dispozici pro toto zařízení.
app_text_fingerprint_not_recognized,Touch ID nerozpozná otisk prstu. Zkuste to prosím znovu s zaregistrovaným prstem.
app_text_face_not_recognizes,ID obličej nerozezná váš obličej. Zkuste to prosím znovu s zapsal do tváře.
app_text_fingerprint_or_face_not_enrolled,Žádné otisky prstů / tváří zapsal do zařízení.
app_text_biometry_locked_out,Funkce je nyní uzamčena, protože příliš mnoho neúspěšných pokusů.
app_text_register_for_fingerpring,Zaregistrujte se Fingerprint
app_text_register_for_fingerprint_details,Chcete se zaregistrovat tento účet pro funkci otisku prstu. Poté, co udělal, můžete se přihlásit do tohoto účtu bez použití e-mailové adresy nebo hesla, jen pomocí ověření otisků prstů.
app_text_register,Registrovat
app_text_verify,ověřit
app_text_get_otp,Získat OTP
app_text_mobile_number,Číslo mobilního telefonu
app_text_mobile_number_optional,Číslo mobilního telefonu (volitelně)
app_text_error_number_verification,Číslo mobilního telefonu nebylo možné ověřit! Zkuste to prosím znovu s správný počet OTP!
app_text_phone_number_already_exists,Telefonní číslo je již registrováno. Zkuste to prosím znovu s jinou telefonní číslo!
app_text_number_verification,Počet Ověření
app_text_number_verification_description,Je třeba ověřit telefonní číslo. Prosím, zadejte telefonní číslo a odeslat
app_text_login_with_phone_number,Přihlásit pomocí telefonního čísla
app_text_fingerprint_not_available,Otisk ověřování není k dispozici v tomto zařízení!
app_text_fingerprint_not_enrolled,Žádné otisky prstů se zapsal do zařízení.
app_text_android_marshmallow_required,Aspoň Android Marshmallow je vyžadována pro podporu ověřování otisků prstů.
app_text_fingerprint_error_try_again,Tam je nějaká chyba s otiskem prstu. Zkuste to prosím znovu nebo pokračovat bez otisků prstů!
app_text_fingerprint_wipe_sensor_try_again,Tam mohl být nějaký prach na snímači otisků prstů. Prosím, otřete ji a zkuste to znovu.
app_text_place_your_finger_on_sensor,Položte prst na snímači, aby i nadále
app_text_sec,Sec
app_text_min,Min
app_text_hour,Hour








































































































































