apicall_954834405d762e3b854af89d3841eb2a,Fordern Sie nicht verfügbar
app_text_msg_rating,Bitte wählen Sie Bewertung
app_text_msg_add_cart,Sie können durch einen einfachen Klick auf den Button \ ‚In den Warenkorb \‘ Produkt in den Warenkorb legen!
app_text_msg_add_wishlist,Sie können durch einen einfachen Klick auf den Button \ ‚Zur Wunschliste hinzufügen \‘ Produkt auf den Merkzettel!
app_text_msg_product_price,Produktpreis wurde aktualisiert!
app_text_msg_product_not_available,Dieses Produkt ist für Bestellung nicht möglich!
app_text_msg_combination,Diese Kombination existiert nicht für dieses Produkt. Bitte wählen Sie eine andere Kombination.
app_text_msg_product_no_stock,Dieses Produkt ist in der gewünschten Menge oder nicht auf Lager ist nicht verfügbar!
app_text_msg_out_stock,Einige der Produkte in den Warenkorb gelegt sind in der gewünschten Menge nicht verfügbar oder nicht auf Lager. Bitte entfernen Sie ein solches Produkt (e) aus dem Warenkorb!
app_text_msg_checkout_products,Sie können auf die Schaltfläche durch einfaches Anklicken Produkte im Warenkorb Kasse ‚Weiter zur Kasse‘.
app_text_msg_apply_voucher,Sie können Gutschein in den Warenkorb bewerben!
app_text_msg_update_quantity,Sie können Produktmenge aktualisieren oder aus dem Warenkorb entfernen!
app_text_msg_view_details,Sie können Produktinformationen, indem Sie auf Produktbild an!
app_text_msg_success,Erfolg!
app_text_msg_failure,Fehler!
app_text_msg_enter_quantity,Bitte geben Sie Menge
app_text_quantity,Menge
app_text_remove,Löschen
app_text_customization_details,Kundenspezifische Details
app_text_msg_add_address,Sie können durch Klicken auf die Schaltfläche neue Lieferadresse hinzuzufügen!
app_text_msg_update_address,Sie können Versandadresse aktualisieren!
app_text_msg_select_address,Sie können durch einfaches Klicken auf sie eine beliebige Adresse Versand wählen!
app_text_select_address_text,* Bitte wählen Sie Lieferadresse Ihrer Bestellung zu überprüfen.
app_text_msg_no_product,Keine Produkte verfügbar!
app_text_msg_no_comment_available,Kein Kommentar (e) verfügbar!
app_text_msg_reset_password,Sie können Ihr Passwort zurücksetzen, indem Sie auf `Vergessen password`
app_text_msg_login,Sie können von hier aus in den Laden anmelden!
app_text_msg_login_fb,Sie können auch in den Laden von Ihrem Facebook-Account anmelden!
app_text_msg_login_google,Sie können auch in den Laden von Ihrem Google-Konto anmelden!
app_text_msg_update_profile,Sie können Ihr Profil Details, Versanddetails oder sehen Sie Ihre Auftragsdetails von hier updaten!
app_text_product_info_and_care,Produkt-Info und Pflege
app_text_download,Herunterladen
app_text_minimal_quantity,Minimalmengen
app_text_seller_details,Verkäufer Details
app_text_pack_content,Packung Inhalt
app_text_submit,einreichen
app_text_msg_forget_password,Geben Sie die E-Mail-Adresse mit Ihrem Konto verknüpft. Klicken Sie auf Senden Sie Ihr Passwort per E-Mail an Sie müssen.
app_text_enter_your_email,Geben sie ihre E-Mail Adresse ein
app_text_reset_password,Passwort zurücksetzen
app_text_view_selected_filter,Sie können Ihr ausgewähltes Filterergebnis durch einen Klick auf diesem Bild sehen!
app_text_clear_selected_filter,Sie können durch einen Klick auf dieses Bild der angelegten Filter klar!
app_text_no_filter,Keine Filter
app_text_phone_number_required,* Sie müssen mindestens eine Telefonnummer registrieren
app_text_refresh,Aktualisierung
app_text_internet_connection_failed,Internet Connection Failed!
app_text_internet_connection_problem,Es könnte ein Problem mit Ihrer Internetverbindung sein. Bitte prüfe.
app_text_cancel_transaction,Abbrechen Transaktion
app_text_middle_of_payment,Sie befinden sich in der Mitte des Zahlungstransaktionsprozess. Wollen Sie wirklich Ihre Transaktion stornieren?
app_text_yes,Ja
app_text_no,Nein
app_text_enter_your_comment,Geben Sie Ihren Kommentar
app_text_msg_shipping_methods_unavailable,Für einige Produkte (e), sind Versandmethoden nicht zur Verfügung. Bitte entfernen Sie ein solches Produkt (e) aus dem Warenkorb und versuchen Sie es erneut.
app_text_msg_select_shipping_methods,Bitte wählen Sie Versandart
youtube_api_key,AIzaSyA1UXXtMmvYcsJpcUMCXRENdi_gDYXPpe0
server_not_found,Server nicht gefunden
authorization_error,Autorisierungsfehler
check_internet_connection,Network Connection Error.Please Ihre Internetverbindung überprüfen
parse_error,Parsing-Fehler in API
app_text_share_log,Teilen Log
app_text_payment_failed_contact_support,Ihre Bestellung nicht bearbeitet werden kann. Mit freundlicher Unterstützung Kontakt für Rückfragen
app_text_choose_payment_method,Zahlungsart auswählen
app_text_no_payment_method,Keine Zahlungsmethode (n) gefunden!
app_text_no_payment_currently,Es gibt derzeit keine Zahlungsmethode.
app_text_no_make_payment,Sie gewann \ 't in der Lage sein, die Zahlung zu machen, wie diese mobile App-Setup für Demo-Zwecke ist.
app_text_make_payment_after_select,Sie können die Zahlung nach der Auswahl einer Zahlungsmethode machen!
app_text_title_paypal_payment,PayPal Bezahlung
app_text_order_total_price,Bestellen Gesamtpreis
app_text_user_cancelled_the_payment,Benutzer abgebrochen, die Zahlung
app_text_invalid_payment_try_again,Ungültige Zahlung. Mit freundlicher erneut versuchen
app_text_wishlist_item_removed,Artikel von der Wunschliste entfernt.
app_text_wishlist_item_added,Artikel hinzugefügt Zur Wunschliste
app_text_subject,Hey Check this out!
app_text_text_extra_share,Hier verfügbar :
app_text_share_intent_title,Aktie
app_text_error_product_name_url,Der Produktname oder URL kann leer sein.
app_text_tag_error,Error
app_text_view_your_store,Sehen Sie Ihren Shop
app_text_view_demo,Demo anzeigen
app_text_currency,Währung (en)
app_text_same_as_shipping_details,Das gleiche wie Versandadresse
app_text_billing_details,Rechnungsdetails
app_text_shipping_addresses,Lieferadresse (n)
app_text_billing_addresses,Rechnungsadresse (n)
app_text_billing_address,Rechnungsadresse
app_text_sellers,Sellers
app_text_seller,Verkäufer
app_text_seller_shipping_policy,Versandbedingungen
app_text_seller_return_policy,Rücknahmegarantie
app_text_review_title,Titel *
app_text_review_comment,Kommentar *
app_text_review_rating,Bewertung *
app_text_filter_products,Filter Produkt (e)
app_text_select_category,Kategorie wählen
app_text_select_sort,Wählen Sie sortieren
app_text_clear,klar
app_text_edit,Bearbeiten
app_text_cart,Wagen
app_text_move_to_cart,In den Einkaufswagen legen
app_text_no_shipping_method_available,Nein Versandmethode verfügbar
app_text_module_not_installed,Bitte kontaktieren Sie Ihren Administrator Daten auf dieser Seite zu sehen.
app_text_no_data_found,Keine Daten gefunden!
app_text_enter_coupon_code,Gutschein-Code eingeben
app_text_apply_coupon,Bewerben Coupon
app_text_add_more_in_cart,Fügen Sie mehr in Warenkorb Diese Bestellung aufgeben
app_text_shipping_details,Versanddetails
app_text_choose_app_theme,Wählen Sie Ihre App Theme
app_text_enter_store_url,Geben Sie Ihre Shop-URL
app_text_sample_store_url,Ex: http://your_store.com/
app_text_downloads,Downloads
app_text_done,Erledigt
app_text_posted_on,Veröffentlicht am:
app_text_commented_by,Kommentiert von:
app_text_seller_comment,Kommentar:
app_text_open,Öffnen
app_text_order_status,Öffnen
app_text_special_products,Spezielle Produkte
app_text_product_information,Produktinformation
app_text_featured_products,Feature Produkte
app_text_requested_gift_order,Sie haben für diese Bestellung Geschenkverpackung angefordert
app_text_step_one_of_three,Stufe 1/3
app_text_review_checkout,Bewertung Kasse
app_text_your_wishlist_is_empty,Deine Wunschliste ist leer!
app_text_no_shipping_method,Nein Versandmethode verfügbar
app_text_no_order_found,Keine Bestellung gefunden!
app_text_percent_off,% aus
app_text_coupon_length_validation,Gutscheincodes Zeichen muss größer als oder gleich 4.
app_text_coupon_code_removed,Coupon Rabatt wurde erfolgreich entfernt!
app_text_facebook_login_cancelled,Facebook-Login wird abgebrochen.
app_text_facebook_login_failure,Facebook Login Fehler:
app_text_login_failed,Anmeldung fehlgeschlagen!
app_text_wrong_url_install_mab,Sie könnten falsche URL eingegeben oder Sie haben nicht unsere mobile App-Builder-Modul installieren.
app_text_install_module,Modul installieren
app_text_text_loading,Wird geladen
app_text_text_exception,Ausnahme:
app_text_msg_reset_password_click,Sie können Ihr Passwort, indem Sie auf \ ‚Vergessen Passwort \‘ zurückgesetzt!
app_text_login_from_here,Sie können von hier aus in den Laden anmelden!
app_text_login_from_facebook_account,Sie können auch in den Laden von Ihrem Facebook-Account anmelden!
app_text_login_from_google_account,Sie können auch in den Laden von Ihrem Google-Konto anmelden!
app_text_text_warning,Warnung!
app_text_update_address_if_exists,Sie können Versandadresse aktualisieren oder eine andere Adresse wählen, ob vorhanden!
app_text_continue_to_checkout_click_msg,Sie können auf die Schaltfläche \ durch einfaches Anklicken Produkte im Warenkorb Kasse ‚Weiter zur Kasse \‘!
app_text_please_enter_store_url,Bitte geben Sie Shop-URL
app_text_product_not_desired_quantity,Einige der Produkte in den Warenkorb gelegt sind in der gewünschten Menge nicht verfügbar oder nicht auf Lager. Bitte entfernen Sie ein solches Produkt (e) aus dem Warenkorb!
app_text_select_shipping_methods,Wählen Sie Versandart (en)
app_text_send_email,E-Mail senden...
app_text_error_in_google_sign_in,Einige Fehler in Google login.Please versuchen Sie es erneut.
app_text_process_payment_problem,Einige Fehler ist aufgetreten, während der Zahlungsabwicklung. Mit freundlicher erneut versuchen.
app_text_text_state,Zustand
app_text_update_address,Update-Adresse
app_text_unit_price,Stückpreis
app_text_total_price,Gesamtpreis
app_text_text_totals,Summen
app_text_text_success,Erfolg!
app_text_sale,Verkauf
app_text_new,Neu
app_text_title_payment_paypal,PayPal Bezahlung
app_text_extra_share,Hier verfügbar :
app_text_intent_title,Aktie
app_text_ok,OK
app_text_choose_your_app_theme,Wählen Sie Ihre App Theme
app_text_terms_and_conditions,Nutzungsbedingungen
app_text_wishlist_only,Wunschzettel
app_text_wishlist_remove,Entfernen von Wunschliste
app_text_state_not_required,Staat nicht für ausgewähltes Land erforderlich
app_text_currencies,Währung (en)
app_text_payment_failed,Einige Fehler ist aufgetreten, während der Zahlungsabwicklung. Mit freundlicher erneut versuchen
app_text_entered_wrong_url,Sie könnten falsche URL eingegeben oder Sie haben nicht über unsere mobile App Builder bodule installiert.
app_text_choose_your_app_theme,Wählen Sie Ihre App Theme
app_text_fill_all_required_fields,Bitte füllen Sie alle erforderlichen Felder aus.
appgetwishlist_694e8d1f2ee056f98ee488bdc4982d73,Menge
appgetwishlist_6665e3761028c84e1d228de3432229ed,SKU
appgetwishlist_287234a1ff35a314b5b6bc4e5828e745,Attribute
app_text_share_feedback,Teile Feedback / Custom Änderungsanforderung
app_text_install_whatsapp,WhatsApp ist nicht auf Ihrem Gerät installiert
app_text_no_account_registered,Kein Konto für die biometrische Authentifizierung in diesem Gerät registriert. Bitte melden Sie sich zuerst ein Konto.
app_text_confirm_for_authentication,Bestätigen Sie Ihren Fingerabdruck oder Gesicht zu authentifizieren.
app_text_login_with_fingerprint,Einloggen mit Fingerabdruck
app_text_register_for_fingerprint,Registrieren Sie sich für Fingerabdruck-Anmeldung
app_text_biometric_not_available,Biometrische Authentifizierung ist für dieses Gerät nicht zur Verfügung.
app_text_fingerprint_not_recognized,Touch-ID nicht erkennt Ihren Fingerabdruck. Bitte versuchen Sie es mit Ihren registrierten Fingerabdruck.
app_text_face_not_recognizes,Face ID erkennt Ihr Gesicht. Bitte versuchen Sie es mit Ihrem immatrikuliert Gesicht.
app_text_fingerprint_or_face_not_enrolled,Keine Fingerabdrücke / Gesicht eingeschrieben in das Gerät ein.
app_text_biometry_locked_out,Funktionalität ist nun gesperrt, wegen zu vielen Fehlversuchen.
app_text_register_for_fingerpring,Registrieren Sie sich für Fingerabdruck
app_text_register_for_fingerprint_details,Wollen Sie dieses Konto für Fingerabdruck-Funktionalität registrieren. Ist das erledigt, können Sie in dieses Konto anmelden, ohne E-Mail-ID oder Passwort, nur die Fingerabdrucküberprüfung verwenden.
app_text_register,Registrieren
app_text_verify,Überprüfen
app_text_get_otp,Holen OTP
app_text_mobile_number,Handynummer
app_text_mobile_number_optional,Mobile Number (Optional)
app_text_error_number_verification,Handynummer kann nicht verifiziert werden! Bitte versuchen Sie es erneut mit der richtigen OTP-Nummer!
app_text_phone_number_already_exists,Telefonnummer ist bereits registriert. Bitte versuchen Sie es erneut mit einer anderen Telefonnummer!
app_text_number_verification,Anzahl Verification
app_text_number_verification_description,Sie müssen die Telefonnummer überprüfen. Bitte geben Sie die Telefonnummer und senden
app_text_login_with_phone_number,Einloggen mit Telefonnummer
app_text_fingerprint_not_available,Fingerabdruck-Authentifizierung ist in diesem Gerät nicht verfügbar!
app_text_fingerprint_not_enrolled,Keine Fingerabdrücke in das Gerät eingeschrieben.
app_text_android_marshmallow_required,Atleast Android Eibisch ist erforderlich, Fingerabdruck-Authentifizierung zu unterstützen.
app_text_fingerprint_error_try_again,Es gibt einige Fehler mit Fingerabdruck. Bitte versuchen Sie es erneut oder weiterhin ohne Fingerabdruck!
app_text_fingerprint_wipe_sensor_try_again,Es könnte etwas Staub auf dem Fingerabdrucksensor sein. Bitte wischen Sie es und versuchen Sie es erneut.
app_text_place_your_finger_on_sensor,Legen Sie Ihren Finger auf den Sensor, um fortzufahren
app_text_sec,Sec
app_text_min,Min
app_text_hour,Hour








































































































































