apicall_954834405d762e3b854af89d3841eb2a,Искане за недостъпна
app_text_invalid_payment_try_again,Невалиден плащане. Моля, опитайте отново
app_text_wishlist_item_removed,Точка отстранява от желания.
app_text_wishlist_item_added,Елементът е добавен към списък с желания
app_text_subject,Ей Вижте това!
app_text_text_extra_share,Предлага се тук:
app_text_share_intent_title,Дял
app_text_error_product_name_url,Името на продукта или адреса може да бъде празно.
app_text_tag_error,грешка
app_text_view_your_store,Преглед на вашия магазин
app_text_view_demo,Вижте Demo
app_text_currency,Валутна (и)
app_text_same_as_shipping_details,Същия като адреса за доставка
app_text_billing_details,данните за таксуване
app_text_shipping_addresses,Адрес за доставка (и)
app_text_billing_addresses,Адрес за фактуриране (и)
app_text_billing_address,адрес на плащане
app_text_sellers,Продавачите
app_text_seller,продавач
app_text_seller_shipping_policy,Правила за доставка
app_text_seller_return_policy,Условия за връщане
app_text_review_title,Заглавие *
app_text_review_comment,коментар *
app_text_review_rating,Оценка *
app_text_filter_products,Филтър продукт (а)
app_text_select_category,Избери категория
app_text_select_sort,Изберете Сортирайте
app_text_clear,ясно
app_text_edit,редактиране
app_text_cart,количка
app_text_move_to_cart,Преместване в кошницата
app_text_no_shipping_method_available,Не Начин за доставка в наличност
app_text_module_not_installed,Моля, свържете се с администратора на сайта, за да видите данните на тази страница.
app_text_no_data_found,Няма данни!
app_text_enter_coupon_code,Въведете код на талона
app_text_apply_coupon,Нанесете Купон
app_text_add_more_in_cart,Добавете още в количка, за да поставите този ред
app_text_shipping_details,Подробности за доставката
app_text_choose_app_theme,Изберете вашия App Тема
app_text_enter_store_url,Въведете вашия адрес в магазина
app_text_sample_store_url,Ex: http://your_store.com/
app_text_downloads,Downloads
app_text_done,Свършен
app_text_posted_on,Публикувано на:
app_text_commented_by,Коментирано от:
app_text_seller_comment,Коментар:
app_text_open,отворено
app_text_order_status,отворено
app_text_special_products,Специални продукти
app_text_product_information,Информация за продукта
app_text_featured_products,фокус Продукти
app_text_requested_gift_order,Заявили сте опаковане на подаръци за тази цел
app_text_step_one_of_three,стъпка 1/3
app_text_review_checkout,Преглед Checkout
app_text_your_wishlist_is_empty,Списъкът с желания е празен!
app_text_no_shipping_method,Не Начин за доставка в наличност
app_text_no_order_found,Не Поръчка Намерени!
app_text_percent_off,% отстъпка
app_text_coupon_length_validation,Купон код символи трябва да бъдат по-големи или равни на 4.
app_text_coupon_code_removed,Купон отстъпка е била отстранена успешно!
app_text_facebook_login_cancelled,Facebook вход е бил отменен.
app_text_facebook_login_failure,Facebook Вход Неизправност:
app_text_login_failed,Неуспешно влизане!
app_text_wrong_url_install_mab,Може да сте влезли грешен URL или не сте инсталирате мобилното ни приложение строител модул.
app_text_install_module,Инсталирайте Модул
app_text_text_loading,Зареждане
app_text_text_exception,Изключение:
app_text_msg_reset_password_click,Можете да смените паролата си, като кликнете върху \ 'Забравете парола \ "!
app_text_login_from_here,Можете да влезете в магазина от тук!
app_text_login_from_facebook_account,Можете също така да влезете в магазина от вашия Facebook профил!
app_text_login_from_google_account,Можете също така да влезете в магазина от профила си в Google!
app_text_text_warning,Внимание!
app_text_update_address_if_exists,Можете да актуализирате адрес за доставка, или изберете друг адрес, ако съществува!
app_text_continue_to_checkout_click_msg,Можете да касата продукти в количката, като кликнете върху бутона \ "Продължаване към Checkout \ '!
app_text_please_enter_store_url,Моля, въведете URL магазин
app_text_product_not_desired_quantity,Някои от продуктите в кошницата, не са на разположение в желаното количество, или не на склад. Моля, премахнете това продукт (и) от количка!
app_text_select_shipping_methods,Изберете начина за доставка (и)
app_text_send_email,Изпратете имейл...
app_text_error_in_google_sign_in,Някои грешки в Google login.Please опитайте отново.
app_text_process_payment_problem,настъпили Някои грешка при обработката на плащането. Моля, опитайте отново.
app_text_text_state,състояние
app_text_update_address,Адрес за актуализация
app_text_unit_price,Единична цена
app_text_total_price,Обща цена
app_text_text_totals,суми
app_text_text_success,Успех!
app_text_sale,продажба
app_text_new,нов
app_text_title_payment_paypal,PayPal Плащане
app_text_extra_share,Предлага се тук:
app_text_intent_title,Дял
app_text_ok,Добре
app_text_choose_your_app_theme,Изберете вашия App Тема
app_text_terms_and_conditions,Условия за ползване
app_text_wishlist_only,списък с желания
app_text_wishlist_remove,Махни от списък с желания
app_text_state_not_required,Членка не се изисква за избраната страна
app_text_currencies,Валутна (и)
app_text_payment_failed,настъпили Някои грешка при обработката на плащането. Моля, опитайте отново
app_text_entered_wrong_url,Може да сте влезли грешен URL или не сте инсталирали мобилното ни приложение строител bodule.
app_text_choose_your_app_theme,Изберете вашия App Тема
app_text_fill_all_required_fields,Моля, попълнете всички задължителни полета.
appgetwishlist_694e8d1f2ee056f98ee488bdc4982d73,количество
appgetwishlist_6665e3761028c84e1d228de3432229ed,Код
appgetwishlist_287234a1ff35a314b5b6bc4e5828e745,Атрибути
app_text_share_feedback,Сподели обратна връзка / заявка по поръчка на климата
app_text_install_whatsapp,Whatsapp не е инсталиран на вашето устройство
app_text_no_account_registered,Не сметката е регистрирано за биометрична автентификация в това устройство. Моля, регистрирайте първи.
app_text_confirm_for_authentication,Потвърдете вашия пръстов отпечатък или с лице за удостоверяване.
app_text_login_with_fingerprint,Влез с пръстови отпечатъци
app_text_register_for_fingerprint,Регистрирайте се за пръстови отпечатъци Вход
app_text_biometric_not_available,Биометрична идентификация не е налична за това устройство.
app_text_fingerprint_not_recognized,Touch ID не разпознава вашия пръстов отпечатък. Моля, опитайте отново с включени пръстови отпечатъци.
app_text_face_not_recognizes,Face ID не разпознава лицето ви. Моля, опитайте отново с включени ти лице.
app_text_fingerprint_or_face_not_enrolled,Не пръстови отпечатъци / лицето записани в устройството.
app_text_biometry_locked_out,Функционалност е заключена сега, заради твърде много неуспешни опити.
app_text_register_for_fingerpring,Регистрирайте се за пръстови отпечатъци
app_text_register_for_fingerprint_details,Искате ли да се регистрирате на този профил за функционалност пръстови отпечатъци. След като приключите, можете да влезете в този профил, без да използвате Id имейл или парола, само с помощта на проверката на пръстови отпечатъци.
app_text_register,Регистрирам
app_text_verify,Уверете се,
app_text_get_otp,Вземи OTP
app_text_mobile_number,Мобилен номер
app_text_mobile_number_optional,Мобилен номер (по избор)
app_text_error_number_verification,Мобилният номер не може да бъде проверена! Моля, опитайте отново с правилния номер на OTP!
app_text_phone_number_already_exists,Телефонен номер вече е регистриран. Моля, опитайте отново с друг телефонен номер!
app_text_number_verification,Проверка Номер
app_text_number_verification_description,Трябва да потвърдите телефонния номер. Моля, въведете телефонния номер и да представят
app_text_login_with_phone_number,Влез с телефонен номер
app_text_fingerprint_not_available,Разпознаването на пръстов отпечатък не е на разположение на това устройство!
app_text_fingerprint_not_enrolled,Не пръстови отпечатъци, записани в устройството.
app_text_android_marshmallow_required,Поне Android Зефир се изисква за подпомагане на удостоверяване чрез пръстов отпечатък.
app_text_fingerprint_error_try_again,Има някаква грешка с пръстови отпечатъци. Моля, опитайте отново или да продължите без пръстови отпечатъци!
app_text_fingerprint_wipe_sensor_try_again,Възможно е да има някакъв прах върху сензора за пръстови отпечатъци. Моля, изтрийте го и опитайте отново.
app_text_place_your_finger_on_sensor,Поставете пръста си върху сензора, за да продължите
app_text_sec,Sec
app_text_min,Min
app_text_hour,Hour








































































































































