apicall_954834405d762e3b854af89d3841eb2a,طلب غير متوفر
app_text_required,مطلوب
app_text_msg_rating,الرجاء تحديد تصنيف
app_text_msg_add_cart,يمكنك إضافة المنتج الى سلة التسوق ببساطة عن طريق النقر على زر \ 'إضافة إلى العربة \'!
app_text_msg_add_wishlist,يمكنك إضافة المنتج إلى سلة ببساطة عن طريق النقر على زر \ 'اضف الى قائمة الامنيات \'!
app_text_msg_product_price,تم تحديث سعر المنتج!
app_text_msg_product_not_available,هذا المنتج غير متوفر للطلب!
app_text_msg_combination,عدم وجود هذا الجمع لهذا المنتج. الرجاء تحديد مجموعة أخرى.
app_text_msg_product_no_stock,هذا المنتج غير متوفر في الكمية المطلوبة أم لا في الأسهم!
app_text_msg_out_stock,بعض المنتجات في العربة ليست متاحة في الكمية المطلوبة أم لا في الأوراق المالية. الرجاء إزالة هذا المنتج (ق) من السلة
app_text_msg_checkout_products,يمكنك الخروج منتجات في سلة التسوق ببساطة عن طريق النقر على زر "متابعة خطوات الدفع.
app_text_msg_apply_voucher,يمكنك تقديم طلب قسيمة لعربة التسوق!
app_text_msg_update_quantity,يمكنك تحديث كمية من المنتج أو إزالته من عربة التسوق!
app_text_msg_view_details,يمكنك عرض تفاصيل المنتج من خلال النقر على صورة المنتج!
app_text_msg_success,نجاح!
app_text_msg_failure,بالفشل!
app_text_msg_enter_quantity,الرجاء إدخال كمية
app_text_quantity,كمية
app_text_remove,إزالة
app_text_customization_details,تفاصيل التخصيص
app_text_msg_add_address,يمكنك إضافة عنوان الشحن الجديد من خلال النقر على زر!
app_text_msg_update_address,يمكنك تحديث عنوان الشحن!
app_text_msg_select_address,يمكنك تحديد أي عنوان الشحن بمجرد النقر على ذلك!
app_text_select_address_text,* الرجاء اختيار عنوان الشحن لمراجعة طلبك.
app_text_msg_no_product,لا توجد منتجات المتاحة!
app_text_msg_no_comment_available,لا تعليق (تعليقات) متوفرة!
app_text_msg_reset_password,يمكنك إعادة تعيين كلمة المرور الخاصة بك عن طريق النقر `نسيت Password`
app_text_msg_login,يمكنك الدخول إلى المتجر من هنا!
app_text_msg_login_fb,يمكنك أيضا تسجيل الدخول إلى المتجر من حساب الفيسبوك الخاص بك!
app_text_msg_login_google,يمكنك أيضا تسجيل الدخول إلى المتجر من حساب Google الخاص بك!
app_text_msg_update_profile,يمكنك تحديث تفاصيل الملف وتفاصيل الشحن أو مشاهدة تفاصيل طلبك من هنا!
app_text_product_info_and_care,معلومات المنتج والعناية
app_text_download,تحميل
app_text_minimal_quantity,الحد الأدنى من الكمية
app_text_seller_details,تفاصيل البائع
app_text_pack_content,حزمة المحتوى
app_text_submit,خضع
app_text_msg_forget_password,أدخل عنوان البريد الالكتروني المرتبط بحسابك. انقر فوق تقديم لديك كلمة السر بالبريد الإلكتروني لك.
app_text_enter_your_email,ادخل بريدك الإلكتروني
app_text_reset_password,إعادة تعيين كلمة المرور
app_text_view_selected_filter,يمكنك عرض نتيجة التصفية المحدد من خلال النقر على هذه الصورة!
app_text_clear_selected_filter,يمكنك مسح فلتر تم تطبيقه من خلال النقر على هذه الصورة!
app_text_no_filter,لا المرشحات
app_text_phone_number_required,* يجب عليك تسجيل رقم هاتف واحد على الأقل
app_text_refresh,تحديث
app_text_internet_connection_failed,اتصال إنترنت فشل!
app_text_internet_connection_problem,قد يكون هناك بعض المشاكل مع اتصال الإنترنت الخاص بك. يرجى المراجعة.
app_text_cancel_transaction,إلغاء الصفقة
app_text_middle_of_payment,كنت في منتصف عملية معاملات الدفع الخاصة بك. هل تريد حقا إلغاء المعاملات الخاصة بك؟
app_text_yes,نعم فعلا
app_text_no,لا
app_text_enter_your_comment,أدخل تعليقك
app_text_msg_shipping_methods_unavailable,بالنسبة لبعض المنتجات (ق)، وسائل النقل البحري غير متوفرة. الرجاء إزالة هذا المنتج (ق) من العربة وحاول مرة أخرى.
app_text_msg_select_shipping_methods,يرجى تحديد طريقة الشحن
youtube_api_key,AIzaSyA1UXXtMmvYcsJpcUMCXRENdi_gDYXPpe0
server_not_found,لم يتم العثور على الخادم
authorization_error,خطأ ترخيص
check_internet_connection,Error.Please اتصال الشبكة تحقق من اتصال الإنترنت الخاص بك
parse_error,تحليل خطأ في API
app_text_share_log,حصة دخول
app_text_payment_failed_contact_support,لا يمكن معالجة طلبك. الاتصال بالدعم يرجى لأي استفسار
app_text_choose_payment_method,اختر وسيلة الدفع
app_text_no_payment_method,لا طريقة الدفع (ق) وجدت!
app_text_no_payment_currently,لا توجد طريقة الدفع حاليا.
app_text_no_make_payment,كنت فاز \ 'ر يكون قادرا على جعل الدفع لأن هذا التطبيق المحمول هو الإعداد لغرض العرض.
app_text_make_payment_after_select,يمكن إجراء الدفع بعد اختيار أي طريقة الدفع!
app_text_title_paypal_payment,الدفع باي بال
app_text_order_total_price,أجل السعر الإجمالي
app_text_user_cancelled_the_payment,إلغاء المستخدم الدفع
app_text_invalid_payment_try_again,دفع صالح. يرجى المحاولة مرة أخرى
app_text_wishlist_item_removed,البند إزالتها من سلة.
app_text_wishlist_item_added,واضاف الى قائمة الامنيات البند
app_text_subject,يا التحقق من ذلك!
app_text_text_extra_share,متاح هنا:
app_text_share_intent_title,شارك
app_text_error_product_name_url,قد يكون اسم المنتج أو رابط فارغة.
app_text_tag_error,خطأ
app_text_view_your_store,عرض مخزن لديك
app_text_view_demo,عرض تجريبي
app_text_currency,العملة (ق)
app_text_same_as_shipping_details,نفس عنوان الشحن
app_text_billing_details,تفاصيل الفاتورة
app_text_shipping_addresses,عنوان النقل البحري (ق)
app_text_billing_addresses,عنوان الفواتير (ق)
app_text_billing_address,عنوان وصول الفواتير
app_text_sellers,الباعة
app_text_seller,تاجر
app_text_seller_shipping_policy,سياسة الشحن
app_text_seller_return_policy,سياسة العائدات
app_text_review_title,عنوان *
app_text_review_comment,تعليق *
app_text_review_rating,تقييم *
app_text_filter_products,تصفية المنتج (ق)
app_text_select_category,اختر الفئة
app_text_select_sort,حدد ترتيب
app_text_clear,واضح
app_text_edit,تصحيح
app_text_cart,عربة التسوق
app_text_move_to_cart,انتقل الكرت
app_text_no_shipping_method_available,لا أسلوب الشحن المتوفرة
app_text_module_not_installed,يرجى الاتصال بمسؤول الموقع لعرض البيانات على هذه الصفحة.
app_text_no_data_found,لاتوجد بيانات!
app_text_enter_coupon_code,أدخل رمز القسيمة
app_text_apply_coupon,تطبيق القسيمة
app_text_add_more_in_cart,إضافة المزيد في عربة لوضع هذا النظام
app_text_shipping_details,تفاصيل الشحن
app_text_choose_app_theme,اختر التطبيقات الموضوع
app_text_enter_store_url,أدخل URL متجرك
app_text_sample_store_url,مثال: http://your_store.com/
app_text_downloads,التنزيلات
app_text_done,فعله
app_text_posted_on,نشر على:
app_text_commented_by,وعلق بواسطة:
app_text_seller_comment,تعليق:
app_text_open,افتح
app_text_order_status,افتح
app_text_special_products,المنتجات الخاصة
app_text_product_information,معلومات المنتج
app_text_featured_products,ميزة المنتجات
app_text_requested_gift_order,لقد طلبت تغليف الهدايا لهذا النظام
app_text_step_one_of_three,الخطوة 1/3
app_text_review_checkout,مراجعة الخروج
app_text_your_wishlist_is_empty,قائمة رغباتك فارغة!
app_text_no_shipping_method,لا أسلوب الشحن المتوفرة
app_text_no_order_found,لا ترتيب العثور!
app_text_percent_off,٪ إيقاف
app_text_coupon_length_validation,يجب أن تكون الأحرف رمز القسيمة أكبر من أو يساوي 4.
app_text_coupon_code_removed,تمت إزالة قسيمة خصم بنجاح!
app_text_facebook_login_cancelled,تم إلغاء الفيسبوك تسجيل الدخول.
app_text_facebook_login_failure,الفيسبوك الدخول الفشل:
app_text_login_failed,فشل تسجيل الدخول!
app_text_wrong_url_install_mab,كنت قد دخلت URL غير صحيح أو لم تكن قد قمت بتثبيت لدينا النقالة التطبيقات وحدة البناء.
app_text_install_module,تثبيت وحدة
app_text_text_loading,جار التحميل
app_text_text_exception,استثناء:
app_text_msg_reset_password_click,يمكنك إعادة تعيين كلمة المرور الخاصة بك عن طريق النقر على \ 'نسيت كلمة المرور \'!
app_text_login_from_here,يمكنك الدخول إلى المتجر من هنا!
app_text_login_from_facebook_account,يمكنك أيضا تسجيل الدخول إلى المتجر من حساب الفيسبوك الخاص بك!
app_text_login_from_google_account,يمكنك أيضا تسجيل الدخول إلى المتجر من حساب Google الخاص بك!
app_text_text_warning,تحذير!
app_text_update_address_if_exists,يمكنك تحديث عنوان الشحن أو اختيار أي عنوان آخر في حالة وجود!
app_text_continue_to_checkout_click_msg,يمكنك الخروج منتجات في سلة التسوق ببساطة عن طريق النقر على زر \ 'الاستمرار في الخروج \'!
app_text_please_enter_store_url,الرجاء إدخال URL مخزن
app_text_product_not_desired_quantity,بعض المنتجات في العربة ليست متاحة في الكمية المطلوبة أم لا في الأوراق المالية. الرجاء إزالة هذا المنتج (ق) من السلة
app_text_select_shipping_methods,اختر الطريقة الشحن (ق)
app_text_send_email,ارسل بريد الكتروني...
app_text_error_in_google_sign_in,بعض الخطأ في جوجل login.Please حاول مرة أخرى.
app_text_process_payment_problem,حدث خطأ أثناء معالجة بعض الدفع. يرجى المحاولة مرة أخرى.
app_text_text_state,حالة
app_text_update_address,تحديث عنوان
app_text_unit_price,سعر الوحده
app_text_total_price,السعر الكلي
app_text_text_totals,المجاميع
app_text_text_success,نجاح!
app_text_sale,تخفيض السعر
app_text_new,الجديد
app_text_title_payment_paypal,الدفع باي بال
app_text_extra_share,متاح هنا:
app_text_intent_title,شارك
app_text_ok,حسنا
app_text_choose_your_app_theme,اختر التطبيقات الموضوع
app_text_terms_and_conditions,شزوط واشتراطات الاستخدام
app_text_wishlist_only,الأماني
app_text_wishlist_remove,إزالة من قائمة الامنيات
app_text_state_not_required,الدولة ليست مطلوبة للبلد المحدد
app_text_currencies,العملة (ق)
app_text_payment_failed,حدث خطأ أثناء معالجة بعض الدفع. يرجى المحاولة مرة أخرى
app_text_entered_wrong_url,كنت قد دخلت URL غير صحيح أو لم تقم بتثبيت موقعنا المحمول bodule التطبيق البناء.
app_text_choose_your_app_theme,اختر التطبيقات الموضوع
app_text_fill_all_required_fields,يرجى تعبئة جميع الحقول المطلوبة.
appgetwishlist_694e8d1f2ee056f98ee488bdc4982d73,كمية
appgetwishlist_6665e3761028c84e1d228de3432229ed,SKU
appgetwishlist_287234a1ff35a314b5b6bc4e5828e745,سمات
app_text_share_feedback,حصة ردود الفعل / طلب تغيير مخصص
app_text_install_whatsapp,لم يتم تثبيت واتس اب على جهازك
app_text_no_account_registered,يتم تسجيل أي حساب للمصادقة البيومترية في هذا الجهاز. يرجى تسجيل حساب جديد أولا.
app_text_confirm_for_authentication,تأكيد بصمة أو وجها لمصادقة.
app_text_login_with_fingerprint,تسجيل الدخول مع بصمات الأصابع
app_text_register_for_fingerprint,سجل للحصول على بصمة الدخول
app_text_biometric_not_available,التوثيق التعريفية غير متوفرة لهذا الجهاز.
app_text_fingerprint_not_recognized,لا تعترف ID مسة بصمتك. يرجى المحاولة مرة أخرى مع بصمتك المسجلين.
app_text_face_not_recognizes,لا تعترف وجه ID وجهك. يرجى المحاولة مرة أخرى مع وجهك المسجلين.
app_text_fingerprint_or_face_not_enrolled,لا بصمات / وجه المسجلين في الجهاز.
app_text_biometry_locked_out,يتم تأمين وظيفة الآن، بسبب العديد من المحاولات الفاشلة.
app_text_register_for_fingerpring,سجل للحصول على بصمات الأصابع
app_text_register_for_fingerprint_details,هل ترغب في تسجيل هذا الحساب حصول على وظائف بصمات الأصابع. وبمجرد القيام به، يمكنك الدخول إلى هذا الحساب دون استخدام رقم البريد الإلكتروني أو كلمة المرور، فقط باستخدام التحقق من بصماته.
app_text_register,تسجيل
app_text_verify,التحقق
app_text_get_otp,الحصول على OTP
app_text_mobile_number,رقم الهاتف المحمول
app_text_mobile_number_optional,رقم الجوال (اختياري)
app_text_error_number_verification,ولم يتسن التحقق من رقم هاتفك المحمول! يرجى المحاولة مرة أخرى مع عدد OTP الصحيح!
app_text_phone_number_already_exists,مسجلة بالفعل رقم الهاتف. يرجى المحاولة مرة أخرى مع رقم هاتف آخر!
app_text_number_verification,رقم التحقق
app_text_number_verification_description,تحتاج إلى التحقق من رقم الهاتف. يرجى إدخال رقم الهاتف وتقديم
app_text_login_with_phone_number,تسجيل الدخول مع رقم الهاتف
app_text_fingerprint_not_available,المصادقة على بصمات الأصابع ليست متوفرة في هذا الجهاز!
app_text_fingerprint_not_enrolled,لا بصمات المسجلين في الجهاز.
app_text_android_marshmallow_required,مطلوب أتلست الروبوت الخطمي لدعم مصادقة بصمات الأصابع.
app_text_fingerprint_error_try_again,هناك بعض الخطأ مع بصمات الأصابع. يرجى المحاولة مرة أخرى أو تستمر دون بصمة!
app_text_fingerprint_wipe_sensor_try_again,قد يكون هناك بعض الغبار على استشعار بصمات الأصابع. من فضلك قم بمسحه وحاول مرة أخرى.
app_text_place_your_finger_on_sensor,ضع إصبعك على جهاز استشعار لمواصلة
app_text_sec,ثانية
app_text_min,أنا
app_text_hour,ساعة







































































































































